transition,n,mean,p
Right -> Right,144,-0.03828367934890222,3.7741113532223e-11
Left -> Center,36,-0.14741340857690416,2.9928758709070466e-06
Right -> Center,33,-0.03719017074851641,0.0022714338064869465
Center -> Right,32,-0.026642275539135167,0.0002827003487477899
Left -> Left,30,-0.05989759575292728,0.00026448627789360833
Left -> Right,26,-0.08893182705999346,2.2520773898486515e-05
Center -> Center,21,-0.0179182648236563,0.037873551612707466
Center -> Left,13,-0.006335497006605658,0.5090807192588296
