window,n,diff,t,p
6,28751,-0.054304833541591435,-28.824343368296805,3.894509127023561e-180
9,41956,-0.05971299924462758,-37.4227645275285,1.564451525911325e-301
12,53368,-0.06388777103495695,-43.65746458190202,0.0
15,54159,-0.06436964336857325,-44.27606678758349,0.0
18,54159,-0.06436964336857325,-44.27606678758349,0.0
