deputado_id,switch_date,effect,abs_effect,n_pre,n_post,ideology_distance,direction,crosses_coalition,tenure_years,experience_cat,new_party_size,party_size_cat,vulnerability,old_CAT,new_CAT
74273,2011-11-01 16:13:00+00:00,-0.04705873028311616,0.04705873028311616,123,81,0.91,Unknown,False,6.17,Mid,38,Major,Low,Left,Right
74273,2018-04-11 11:44:00+00:00,-0.04705873028311616,0.04705873028311616,123,81,0.8009999999999999,Unknown,False,6.17,Mid,36,Major,Low,Right,Left
74273,2022-03-24 14:24:00+00:00,-0.04705873028311616,0.04705873028311616,123,81,0.862,Unknown,False,6.17,Mid,58,Major,Low,Left,Right
74284,2013-10-08 18:03:00+00:00,-0.033114618012654015,0.033114618012654015,76,5,0.678,Unknown,False,10.21,Senior,30,Major,Low,Center,Left
74288,2005-10-03 18:46:00+00:00,-0.07176019557188738,0.07176019557188738,28,14,0.10499999999999998,Unknown,False,2.21,Junior,7,Minor,Low,Left,Left
74291,2003-09-17 17:49:00+00:00,0.02462935993484644,0.02462935993484644,12,11,0.28,Unknown,False,8.3,Mid,55,Major,Low,Center,Right
74297,2003-06-02 00:00:00+00:00,-0.00011063971907376515,0.00011063971907376515,7,10,0.11499999999999999,Unknown,False,12.2,Senior,48,Major,Low,Right,Right
74300,2005-10-11 17:50:00+00:00,-0.000396826722982177,0.000396826722982177,30,44,0.02499999999999998,Unknown,False,11.22,Senior,56,Major,Low,Center,Center
74300,2007-03-12 12:36:00+00:00,-0.000396826722982177,0.000396826722982177,30,44,0.28400000000000003,Unknown,False,11.22,Senior,39,Major,Low,Center,Right
74317,2007-04-23 00:00:00+00:00,0.010478226347686082,0.010478226347686082,26,31,0.02200000000000002,Unknown,False,16.299999999999997,Senior,62,Major,Low,Right,Right
74317,2011-10-26 12:04:00+00:00,0.010478226347686082,0.010478226347686082,26,31,0.267,Unknown,False,16.299999999999997,Senior,38,Major,Low,Right,Right
74319,2004-02-14 11:16:00+00:00,-0.005332624295356074,0.005332624295356074,49,50,0.25799999999999995,Unknown,False,16.59,Senior,49,Major,Low,Right,Right
74319,2022-04-25 11:40:00+00:00,-0.005332624295356074,0.005332624295356074,49,50,,Unknown,False,16.59,Senior,0,Minor,Low,Center,
74341,2003-06-02 00:00:00+00:00,-0.020146266567394766,0.020146266567394766,313,196,0.11499999999999999,Unknown,False,7.4,Mid,48,Major,Low,Right,Right
74341,2003-06-24 17:31:00+00:00,-0.020146266567394766,0.020146266567394766,313,196,0.36700000000000005,Unknown,False,7.4,Mid,42,Major,Low,Right,Right
74341,2007-01-25 00:00:00+00:00,-0.020146266567394766,0.020146266567394766,313,196,0.0030000000000000027,Unknown,False,7.4,Mid,39,Major,Low,Right,Right
74343,2003-06-02 00:00:00+00:00,-9.9638824694476e-05,9.9638824694476e-05,17,13,0.11499999999999999,Unknown,False,4.27,Junior,48,Major,Low,Right,Right
74356,2007-02-01 15:51:00+00:00,-0.0313742634282366,0.0313742634282366,105,118,,Unknown,False,16.14,Senior,0,Minor,Low,Right,
74356,2007-03-29 00:00:00+00:00,-0.0313742634282366,0.0313742634282366,105,118,,Unknown,False,16.14,Senior,25,Medium,Low,,Right
74356,2007-04-10 00:00:00+00:00,-0.0313742634282366,0.0313742634282366,105,118,,Unknown,False,16.14,Senior,0,Minor,Low,Right,
74356,2007-06-11 00:00:00+00:00,-0.0313742634282366,0.0313742634282366,105,118,,Unknown,False,16.14,Senior,25,Medium,Low,,Right
74356,2007-07-03 18:36:00+00:00,-0.0313742634282366,0.0313742634282366,105,118,0.16600000000000004,Unknown,False,16.14,Senior,11,Medium,Low,Right,Right
74356,2011-10-26 12:30:00+00:00,-0.0313742634282366,0.0313742634282366,105,118,0.14200000000000002,Unknown,False,16.14,Senior,38,Major,Low,Right,Right
74356,2016-03-16 17:30:00+00:00,-0.0313742634282366,0.0313742634282366,105,118,0.05199999999999999,Unknown,False,16.14,Senior,19,Medium,Low,Right,Right
