id,uri,nome,nomeEleitoral,siglaPartido,uriPartido,siglaUf,idLegislatura,email,urlFoto,dataHora,situacao,condicaoEleitoral,descricaoStatus,deputado_id,idLegislatura_inicial,data_inicio_carreira,partido_inicio_carreira,condicao_eleitoral_inicial
73764,https://dadosabertos.camara.leg.br/api/v2/deputados/73764,ABELARDO LUPION,ABELARDO LUPION,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,PR,53,,https://www.camara.leg.br/internet/deputado/bandep/73764.jpg,2007-04-23T00:00,Exercício,Titular,Alteração de partido,73764,49,1991-02-01T00:00,PRN,
73764,https://dadosabertos.camara.leg.br/api/v2/deputados/73764,ABELARDO LUPION,ABELARDO LUPION,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,PR,53,,https://www.camara.leg.br/internet/deputado/bandep/73764.jpg,2011-01-31T23:59,Fim de Mandato,Titular,Saída - Afastamento definitivo - Término da Legislatura,73764,49,1991-02-01T00:00,PRN,
73764,https://dadosabertos.camara.leg.br/api/v2/deputados/73764,ABELARDO LUPION,ABELARDO LUPION,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,PR,54,,https://www.camara.leg.br/internet/deputado/bandep/73764.jpg,2011-02-01T00:00,Exercício,Titular,Entrada - Posse de Eleito Titular - Posse na Sessão Preparatória / Nome no início da legislatura / Partido no início da legislatura,73764,49,1991-02-01T00:00,PRN,
73764,https://dadosabertos.camara.leg.br/api/v2/deputados/73764,ABELARDO LUPION,ABELARDO LUPION,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,PR,54,,https://www.camara.leg.br/internet/deputado/bandep/73764.jpg,2015-01-31T23:59,Fim de Mandato,Titular,Saída - Afastamento definitivo - Término da Legislatura,73764,49,1991-02-01T00:00,PRN,
204554,https://dadosabertos.camara.leg.br/api/v2/deputados/204554,Abílio Santana,Abílio Santana,PHS,https://dadosabertos.camara.leg.br/api/v2/partidos/36793,BA,56,,https://www.camara.leg.br/internet/deputado/bandep/204554.jpg,2019-02-01T00:00,Exercício,Titular,Nome no início da legislatura / Partido no início da legislatura,204554,56,2019-02-01T00:00,PHS,
204554,https://dadosabertos.camara.leg.br/api/v2/deputados/204554,Abílio Santana,Abílio Santana,PHS,https://dadosabertos.camara.leg.br/api/v2/partidos/36793,BA,56,,https://www.camara.leg.br/internet/deputado/bandep/204554.jpg,2019-02-01T11:45,Exercício,Titular,Entrada - Posse de Eleito Titular - Posse na Sessão Preparatória,204554,56,2019-02-01T00:00,PHS,
204554,https://dadosabertos.camara.leg.br/api/v2/deputados/204554,Abílio Santana,Abílio Santana,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,BA,56,,https://www.camara.leg.br/internet/deputado/bandep/204554.jpg,2019-02-26T17:28,Exercício,Titular,Alteração de partido,204554,56,2019-02-01T00:00,PHS,
204554,https://dadosabertos.camara.leg.br/api/v2/deputados/204554,Abílio Santana,Abílio Santana,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,BA,56,,https://www.camara.leg.br/internet/deputado/bandep/204554.jpg,2019-05-22T17:05,Exercício,Titular,Alteração de partido,204554,56,2019-02-01T00:00,PHS,
204554,https://dadosabertos.camara.leg.br/api/v2/deputados/204554,Abílio Santana,Abílio Santana,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,BA,56,,https://www.camara.leg.br/internet/deputado/bandep/204554.jpg,2022-04-19T17:43,Exercício,Titular,Alteração de partido,204554,56,2019-02-01T00:00,PHS,
204554,https://dadosabertos.camara.leg.br/api/v2/deputados/204554,Abílio Santana,Abílio Santana,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,BA,56,,https://www.camara.leg.br/internet/deputado/bandep/204554.jpg,2022-07-13T18:01,Licença,Titular,Saída - Afastamento com prazo determinado - Afastamento Conjunto Consecutivo,204554,56,2019-02-01T00:00,PHS,
204554,https://dadosabertos.camara.leg.br/api/v2/deputados/204554,Abílio Santana,Abílio Santana,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,BA,56,,https://www.camara.leg.br/internet/deputado/bandep/204554.jpg,2022-11-11T00:00,Exercício,Titular,Entrada - Reassunção,204554,56,2019-02-01T00:00,PHS,
204554,https://dadosabertos.camara.leg.br/api/v2/deputados/204554,Abílio Santana,Abílio Santana,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,BA,56,,https://www.camara.leg.br/internet/deputado/bandep/204554.jpg,2023-01-31T23:59,Fim de Mandato,Titular,Saída - Afastamento definitivo - Término da Legislatura,204554,56,2019-02-01T00:00,PHS,
204521,https://dadosabertos.camara.leg.br/api/v2/deputados/204521,Abou Anni,Abou Anni,PSL,https://dadosabertos.camara.leg.br/api/v2/partidos/36837,SP,56,,https://www.camara.leg.br/internet/deputado/bandep/204521.jpg,2019-02-01T00:00,Exercício,Titular,Nome no início da legislatura / Partido no início da legislatura,204521,56,2019-02-01T00:00,PSL,
204521,https://dadosabertos.camara.leg.br/api/v2/deputados/204521,Abou Anni,Abou Anni,PSL,https://dadosabertos.camara.leg.br/api/v2/partidos/36837,SP,56,,https://www.camara.leg.br/internet/deputado/bandep/204521.jpg,2019-02-01T11:45,Exercício,Titular,Entrada - Posse de Eleito Titular - Posse na Sessão Preparatória,204521,56,2019-02-01T00:00,PSL,
204521,https://dadosabertos.camara.leg.br/api/v2/deputados/204521,Abou Anni,Abou Anni,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,SP,56,,https://www.camara.leg.br/internet/deputado/bandep/204521.jpg,2022-02-23T00:00,Exercício,Titular,Alteração de partido,204521,56,2019-02-01T00:00,PSL,
204521,https://dadosabertos.camara.leg.br/api/v2/deputados/204521,Abou Anni,Abou Anni,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,SP,56,,https://www.camara.leg.br/internet/deputado/bandep/204521.jpg,2023-01-31T23:59,Fim de Mandato,Titular,Saída - Afastamento definitivo - Término da Legislatura,204521,56,2019-02-01T00:00,PSL,
204379,https://dadosabertos.camara.leg.br/api/v2/deputados/204379,Acácio Favacho,Acácio Favacho,PROS,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,AP,56,,https://www.camara.leg.br/internet/deputado/bandep/204379.jpg,2019-02-01T00:00,Exercício,Titular,Nome no início da legislatura / Partido no início da legislatura,204379,56,2019-02-01T00:00,PROS,
204379,https://dadosabertos.camara.leg.br/api/v2/deputados/204379,Acácio Favacho,Acácio Favacho,PROS,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,AP,56,,https://www.camara.leg.br/internet/deputado/bandep/204379.jpg,2019-02-01T11:45,Exercício,Titular,Entrada - Posse de Eleito Titular - Posse na Sessão Preparatória,204379,56,2019-02-01T00:00,PROS,
204379,https://dadosabertos.camara.leg.br/api/v2/deputados/204379,Acácio Favacho,Acácio Favacho,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,AP,56,,https://www.camara.leg.br/internet/deputado/bandep/204379.jpg,2022-04-11T15:52,Exercício,Titular,Alteração de partido,204379,56,2019-02-01T00:00,PROS,
204379,https://dadosabertos.camara.leg.br/api/v2/deputados/204379,Acácio Favacho,Acácio Favacho,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,AP,56,,https://www.camara.leg.br/internet/deputado/bandep/204379.jpg,2023-01-31T23:59,Fim de Mandato,Titular,Saída - Afastamento definitivo - Término da Legislatura,204379,56,2019-02-01T00:00,PROS,
131711,https://dadosabertos.camara.leg.br/api/v2/deputados/131711,ACÁCIO JÚNIOR,ACÁCIO JÚNIOR,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,CE,53,,https://www.camara.leg.br/internet/deputado/bandep/131711.jpg,2007-02-01T00:00,,,Nome no início da legislatura / Partido no início da legislatura,131711,53,2007-02-01T00:00,PSB,
131711,https://dadosabertos.camara.leg.br/api/v2/deputados/131711,ACÁCIO JÚNIOR,ACÁCIO JÚNIOR,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,CE,53,,https://www.camara.leg.br/internet/deputado/bandep/131711.jpg,2011-01-18T16:50,Convocado,Suplente,Diverso - Convocação Eleito ou Suplente - Aguardando Convocação de Suplente,131711,53,2007-02-01T00:00,PSB,
