deputado_id,event_date,old_bloc,new_bloc,n_pre,n_post,sim_old_pre,sim_old_post,delta_sim_old,conf_old_pre,conf_old_post,delta_conf,left_vocab_pre,left_vocab_post,right_vocab_pre,right_vocab_post,delta_left_vocab,delta_right_vocab,group,vocab_shift
160569,2016-03-10 12:31:00+00:00,Left,Left,44,51,0.86689186,0.88187945,-0.014987588,0.7510468166071469,0.8213309462913445,-0.07028412968419762,0.022528151247075988,0.03549047104925046,0.018187562715049437,0.009309221032532521,0.012962319802174473,-0.008878341682516916,control,-0.02184066148469139
73801,2019-08-16 16:25:00+00:00,Left,Left,15,61,0.8448443,0.8439151,0.0009291768,0.8413749268455251,0.8758748867253846,-0.03449995987985954,0.034056726552860066,0.046710290242527694,0.01520614598948585,0.004122228551946769,0.012653563689667628,-0.01108391743753908,control,-0.023737481127206708
133372,2007-03-12 12:36:00+00:00,Center,Center,103,71,0.8596244,0.86239606,-0.0027716756,0.23699849628014594,0.2497202376128614,-0.012721741332715475,0.0033817675243318595,0.003935868672945701,0.03100942998106252,0.03827657730475325,0.0005541011486138417,0.007267147323690729,control,0.006713046175076887
133372,2007-04-23 00:00:00+00:00,Center,Center,80,74,0.86313933,0.86607844,-0.002939105,0.2403132058110718,0.2472168519871908,-0.006903646176118994,0.002910073658121201,0.003318221225599987,0.033737024773099575,0.03752045823076829,0.00040814756747878595,0.003783433457668718,control,0.003375285890189932
204522,2021-09-28 19:32:00+00:00,Right,Right,19,15,0.89401716,0.8873506,0.006666541,0.445931384682212,0.4844172649666874,-0.038485880284475416,0.0004017677782241864,0.0002861230329041488,0.011839655853243435,0.030459232112244217,-0.0001156447453200376,0.01861957625900078,control,0.018735221004320818
204522,2021-06-29 18:01:00+00:00,Right,Right,12,22,0.89579576,0.8885015,0.0072942376,0.45828951025076964,0.46543096183877747,-0.00714145158800783,0.0,0.0005420651490828078,0.016119813300352292,0.02220019014959368,,0.0060803768492413875,control,0.0060803768492413875
74581,2005-09-29 17:46:00+00:00,Left,Left,83,94,0.8613656,0.80464727,0.05671835,0.5843413802990539,0.5969628851253632,-0.012621504826309304,0.012031646969540935,0.00738765373531985,0.006705328785776849,0.008505101761178399,-0.004643993234221085,0.0017997729754015502,control,0.006443766209622635
74581,2007-11-20 00:00:00+00:00,Left,Left,48,87,0.8673379,0.86237407,0.004963815,0.6105089524079962,0.6132775340109045,-0.002768581602908271,0.006226323074463306,0.004103800512665283,0.004417857402915594,0.008200696992630208,-0.002122522561798023,0.0037828395897146136,control,0.005905362151512637
74581,2005-02-22 13:03:00+00:00,Left,Left,77,125,0.88337827,0.806287,0.07709128,0.6275519747951593,0.5843604102320654,0.04319156456309392,0.010825679740927003,0.009973248936563742,0.009145680544392963,0.0068844033141198255,-0.0008524308043632613,-0.0022612772302731373,control,-0.001408846425909876
74581,2011-11-03 18:39:00+00:00,Left,Left,65,45,0.8694626,0.8897775,-0.020314872,0.6567028702892119,0.6163415523457627,0.040361317943449215,0.007089566396957603,0.0055606359964600095,0.013753303163982773,0.007439433223646419,-0.0015289304004975938,-0.0063138699403363545,control,-0.004784939539838761
74581,2011-11-01 16:13:00+00:00,Left,Left,65,45,0.8694626,0.8897775,-0.020314872,0.6567028702892119,0.6163415523457627,0.040361317943449215,0.007089566396957603,0.0055606359964600095,0.013753303163982773,0.007439433223646419,-0.0015289304004975938,-0.0063138699403363545,control,-0.004784939539838761
