method,sw_mean,ctrl_mean,diff,t,p,d
METHOD 1: Embedding - Away from Old Bloc,-0.0001794896525098011,0.0014995160745456815,-0.0016790056833997369,-1.1558478751026826,0.24812502844488143,-0.08502142131328583
METHOD 2: Classifier Confidence Drop,0.010820903749265387,-0.008414120700174964,0.01923502444944035,3.4996462343625017,0.0004937255757963317,0.25607667674923157
METHOD 3a: Left Vocabulary Change,0.0004231318739599919,0.00037367726427871273,4.9454609681279195e-05,0.11308614248298414,0.909997960159266,0.008490903126082826
METHOD 3b: Right Vocabulary Change,0.0005043671837237667,0.000930731176648152,-0.0004263639929243853,-0.586198471803497,0.5579238609857986,-0.043099588427533676
