deputado_id,event_date,old_bloc,new_bloc,n_pre,n_post,sim_old_pre,sim_old_post,delta_sim_old,conf_old_pre,conf_old_post,delta_conf,left_vocab_pre,left_vocab_post,right_vocab_pre,right_vocab_post,delta_left_vocab,delta_right_vocab,ideo_distance,is_rightward,bloc_change,group,sim_new_pre,sim_new_post,delta_sim_new,vocab_shift
109429,2019-08-16 16:25:00+00:00,Right,Right,12,12,0.9016419,0.87724274,0.024399161,0.3641507444750746,0.37467536092698256,-0.010524616451907942,0.0012159106777309338,0.001401919580379471,0.005415032683339202,0.04190220391080918,0.00018600890264853717,0.03648717122746997,0.0,False,False,switcher,,,,0.03630116232482143
116663,2013-10-08 16:30:00+00:00,Left,Left,59,21,0.8562398,0.8655492,-0.009309411,0.4741741828823612,0.5689922768593374,-0.09481809397697621,0.0035966530998093552,0.006320389637162811,0.00417937075092086,0.0047208888846854685,0.002723736537353456,0.0005415181337646083,0.27,False,False,switcher,,,,-0.0021822184035888478
122158,2018-04-11 17:04:00+00:00,Center,Right,37,21,0.8694585,0.8641449,0.0053135753,0.394844038869005,0.2943581459067855,0.10048589296221949,0.0021898438372415854,0.0022897251812914465,0.009199331389011299,0.011776489457089184,9.98813440498611e-05,0.002577158068077885,0.48700000000000004,True,True,switcher,0.8730478286743164,0.8672937750816345,-0.005754053592681885,0.0024772767240280238
133374,2005-10-04 13:55:00+00:00,Right,Left,21,42,0.8826462,0.87306124,0.009584963,0.28196157795890375,0.22625109995712503,0.055710478001778724,0.03350616346299401,0.0324182705632841,0.008084738995697465,0.003725241548879888,-0.0010878928997099108,-0.004359497446817576,0.7749999999999999,False,True,switcher,0.8851807117462158,0.8743168115615845,-0.010863900184631348,-0.0032716045471076656
133374,2011-10-26 12:02:00+00:00,Left,Right,14,21,0.8582038,0.8541118,0.0040920377,0.6193334852352317,0.5555442717927555,0.06378921344247623,0.010596745206301604,0.023215476326873506,0.001445385091885195,0.00023457658925639223,0.012618731120571903,-0.0012108085026288028,0.752,True,True,switcher,0.8612131476402283,0.8550543189048767,-0.0061588287353515625,-0.013829539623200705
133374,2013-10-02 13:01:00+00:00,Right,Center,27,11,0.8464802,0.83763784,0.008842349,0.24950900673771417,0.20807364723764857,0.041435359500065605,0.014510038708878736,0.012182209835203912,0.008395144811943424,0.006556515380044791,-0.002327828873674824,-0.0018386294318986328,0.353,False,True,switcher,0.8464342951774597,0.8376163840293884,-0.008817911148071289,0.0004891994417761912
133440,2006-01-30 17:51:00+00:00,Right,Center,18,15,0.89043033,0.8502712,0.040159106,0.3039388629699122,0.25889862701110133,0.04504023595881085,0.0037996633248681393,0.005680619860196965,0.008286038086985697,0.01050518998422631,0.001880956535328826,0.0022191518972406125,0.281,False,True,switcher,0.8918001651763916,0.8538561463356018,-0.037944018840789795,0.00033819536191178647
136811,2018-12-11 10:29:00+00:00,Right,Right,60,63,0.8701555,0.8674889,0.0026665926,0.2843633333778971,0.2068838531455613,0.0774794802323358,0.001600344742674218,0.00608953105194565,0.022972777759276655,0.018192597519237737,0.004489186309271431,-0.004780180240038918,0.09700000000000009,False,False,switcher,,,,-0.009269366549310348
137070,2016-02-23 16:59:00+00:00,Left,Right,15,29,0.8741898,0.8550426,0.019147217,0.559496104542018,0.5038376166537151,0.055658487888302965,0.011341651199094359,0.0032461339514786255,0.008859568739308278,0.005123732242795298,-0.008095517247615733,-0.0037358364965129794,0.853,True,True,switcher,0.8743708729743958,0.8564913272857666,-0.01787954568862915,0.004359680751102754
141383,2009-11-03 18:37:00+00:00,Center,Right,53,40,0.8702385,0.874067,-0.0038285255,0.29639852327802513,0.28049759893837173,0.0159009243396534,0.0021337979891153033,0.0046191959239099715,0.008310713266994877,0.011825922038216906,0.002485397934794668,0.0035152087712220295,0.309,True,True,switcher,0.8673326969146729,0.8714826703071594,0.004149973392486572,0.0010298108364273613
141391,2019-04-05 00:00:00+00:00,Left,Center,59,20,0.8601927,0.85918057,0.0010121465,0.6046744781945028,0.7041902608266704,-0.09951578263216754,0.0028864723216258004,0.00482635342185904,0.016394124282241743,0.0149539961363864,0.0019398811002332397,-0.001440128145855344,0.27799999999999997,True,True,switcher,0.8612825870513916,0.8582307696342468,-0.0030518174171447754,-0.0033800092460885838
141408,2019-08-16 16:25:00+00:00,Right,Right,11,11,0.90107256,0.89260286,0.008469701,0.3245614618809107,0.469262469234133,-0.14470100735322233,0.009522619692111217,0.0002872325147206664,0.01820724469923282,0.038519946703491674,-0.009235387177390551,0.020312702004258856,0.0,False,False,switcher,,,,0.029548089181649407
141427,2015-11-25 18:47:00+00:00,Left,,11,18,0.78844357,0.8299453,-0.04150176,0.5997461534565601,0.5032149887928127,0.09653116466374745,0.004329004329004329,0.03445814150014732,0.0,0.015673621905075912,0.03012913717114299,,,False,True,switcher,,,,-0.03012913717114299
141427,2018-05-21 11:16:00+00:00,Center,Center,61,10,0.8045374,0.87825406,-0.07371664,0.26512074354856435,0.2833610875690186,-0.01824034402045427,0.008508678964671845,0.003330143414791356,0.007654595987497398,0.0005128205128205128,-0.005178535549880488,-0.007141775474676886,0.0,False,False,switcher,,,,-0.0019632399247963978
141430,2016-03-21 00:00:00+00:00,Right,Center,17,15,0.857276,0.8677425,-0.010466456,0.2526230287004726,0.32907737802254977,-0.07645434932207718,0.005098942325344514,0.0044005307633712305,0.02844028186720618,0.03510649900483062,-0.0006984115619732834,0.006666217137624442,0.353,False,True,switcher,0.8578060269355774,0.8699211478233337,0.012115120887756348,0.007364628699597725
141435,2009-11-03 18:28:00+00:00,Center,Right,156,71,0.8713016,0.8692134,0.0020881891,0.35162174276908614,0.22522777119183557,0.12639397157725057,0.003561772446938685,0.003858455229661087,0.015418717337537871,0.013923124805403014,0.000296682782722402,-0.0014955925321348575,0.309,True,True,switcher,0.8681686520576477,0.8668174743652344,-0.00135117769241333,-0.0017922753148572595
141439,2018-03-27 14:38:00+00:00,Left,Left,27,18,0.8522469,0.828254,0.023992896,0.6295194164778556,0.7777143742861281,-0.14819495780827252,0.021898084669597945,0.016868273453678733,0.01483634548306845,0.005667206657772695,-0.005029811215919212,-0.009169138825295756,0.18100000000000005,True,False,switcher,,,,-0.004139327609376544
141442,2009-09-30 13:15:00+00:00,Center,Right,32,34,0.8443081,0.8653224,-0.021014333,0.4187271000936427,0.3241992944432481,0.09452780565039465,0.006695897546844228,0.0053548020592999145,0.023705876692419234,0.013789805471070636,-0.0013410954875443136,-0.009916071221348598,0.309,True,True,switcher,0.8431315422058105,0.8627117276191711,0.019580185413360596,-0.008574975733804283
141447,2011-10-26 12:07:00+00:00,Right,Right,15,26,0.84566563,0.8366699,0.008995712,0.33807019948582867,0.35877026412166296,-0.020700064635834292,0.00356401384083045,0.0022894479053495714,0.02596847766108625,0.009665816837542984,-0.0012745659354808786,-0.016302660823543265,0.267,False,False,switcher,,,,-0.015028094888062386
141448,2011-10-26 19:16:00+00:00,Right,Right,22,11,0.88729894,0.8311207,0.056178212,0.2281565156024226,0.44265508274996923,-0.21449856714754664,0.008452544790102235,0.002361275088547816,0.009150247196336827,0.009177554632100087,-0.006091269701554419,2.730743576325953e-05,0.05199999999999999,False,False,switcher,,,,0.006118577137317678
141450,2013-10-02 13:31:00+00:00,Right,Center,39,14,0.8542448,0.8763256,-0.02208078,0.2612853905724091,0.2405247780724629,0.020760612499946235,0.001477668357825398,0.0013900607948767877,0.01224142471201446,0.016799546848434422,-8.760756294861022e-05,0.004558122136419962,0.521,False,True,switcher,0.8542187213897705,0.8758575320243835,0.021638810634613037,0.004645729699368572
141450,2016-03-21 18:37:00+00:00,Center,Left,37,12,0.8628214,0.87384874,-0.011027336,0.32338771651240406,0.32878342846259645,-0.0053957119501923945,0.00031065548306927616,0.0025089715904015805,0.0026768602630671593,0.004368895199731102,0.002198316107332304,0.0016920349366639424,0.448,False,True,switcher,0.8610194325447083,0.8723739981651306,0.011354565620422363,-0.0005062811706683617
141454,2016-03-01 18:33:00+00:00,Center,Right,37,26,0.8662923,0.8845035,-0.018211186,0.3096246138148656,0.4130057231701492,-0.1033811093552836,0.0033070867307207845,0.00791659277033584,0.010864926900209789,0.009734107210088178,0.004609506039615055,-0.0011308196901216108,0.659,True,True,switcher,0.8681036233901978,0.8851069211959839,0.017003297805786133,-0.005740325729736666
141454,2018-04-11 09:41:00+00:00,Right,Right,26,12,0.8479169,0.87108016,-0.023163259,0.42585380895796765,0.39514201061505877,0.03071179834290888,0.0037975903447772775,0.0026881720430107525,0.01805399134132003,0.010608305846963944,-0.001109418301766525,-0.007445685494356086,0.126,False,False,switcher,,,,-0.006336267192589561
141460,2007-04-23 00:00:00+00:00,Right,Right,29,77,0.8764623,0.86417735,0.0122849345,0.3524353700722654,0.33876868771789775,0.013666682354367632,0.0,0.0010838673042728954,0.018794140963028706,0.036564864274796216,,0.01777072331176751,0.02200000000000002,True,False,switcher,,,,0.01777072331176751
141476,2007-04-02 16:34:00+00:00,Right,Right,12,28,0.90007275,0.89876115,0.0013116002,0.2096930819324454,0.23686653537441443,-0.02717345344196903,0.008825674453166283,0.010825224647331589,0.009194411086731158,0.011222457232582321,0.0019995501941653063,0.002028046145851163,0.292,False,False,switcher,,,,2.8495951685856766e-05
141478,2009-09-29 16:33:00+00:00,Center,,16,29,0.8510928,0.847596,0.0034968257,0.27677973070316075,0.2083548908812395,0.06842483982192124,0.0038700440396476827,0.001939164261410218,0.005385756913944688,0.006788256428147989,-0.0019308797782374646,0.0014024995142033004,,False,True,switcher,,,,0.003333379292440765
141490,2009-11-06 12:46:00+00:00,Left,Center,37,16,0.89984417,0.9009919,-0.001147747,0.4726360789856967,0.6245914658195895,-0.15195538683389276,0.00590888101972398,0.0023391543746283275,0.006731147606710414,0.005738331964357935,-0.0035697266450956523,-0.0009928156423524796,0.653,True,True,switcher,0.9012783169746399,0.9023628234863281,0.0010845065116882324,0.0025769110027431727
141495,2009-11-12 14:59:00+00:00,Center,Center,85,141,0.855979,0.8524742,0.0035048127,0.32449890452444297,0.28531444582758675,0.03918445869685622,0.006364774697339325,0.0025842303827881114,0.008695679544492648,0.0093502610792153,-0.003780544314551214,0.0006545815347226511,0.02499999999999998,True,False,switcher,,,,0.004435125849273865
141496,2007-04-23 00:00:00+00:00,Right,Right,17,52,0.8871337,0.86815256,0.018981159,0.459332574250666,0.33373139774849064,0.12560117650217534,0.009508468799563477,0.005297599128635659,0.04925456253595575,0.04335923218167322,-0.004210869670927818,-0.005895330354282524,0.02200000000000002,True,False,switcher,,,,-0.0016844606833547058
141496,2013-08-29 12:11:00+00:00,Right,Right,30,18,0.88435084,0.90399617,-0.019645333,0.43228905278994195,0.4432225555744253,-0.010933502784483351,0.0026700331458685265,0.0032705133928896037,0.06893360543446449,0.049386729067323165,0.0006004802470210772,-0.019546876367141322,0.008000000000000007,True,False,switcher,,,,-0.0201473566141624
141496,2013-10-03 16:48:00+00:00,Right,Center,33,15,0.888263,0.8993185,-0.011055529,0.4390443596699561,0.4305475809952909,0.008496778674665195,0.0029017963319549586,0.0028807304329036684,0.06755779374430267,0.048504139512250945,-2.1065899051290245e-05,-0.01905365423205172,0.654,False,True,switcher,0.8886644840240479,0.8995231986045837,0.010858714580535889,-0.019032588333000432
141530,2007-04-23 00:00:00+00:00,Right,Right,16,64,0.8920857,0.8726256,0.019460082,0.32338499491830763,0.2672848922339659,0.056100102684341735,0.001263989029269165,0.00346892126341601,0.01000354950060739,0.014664252767733775,0.002204932234146845,0.004660703267126386,0.02200000000000002,True,False,switcher,,,,0.002455771032979541
141535,2009-05-13 17:47:00+00:00,Left,Center,17,22,0.8815337,0.8952011,-0.013667405,0.4030412021172284,0.5414266575435406,-0.1383854554263122,0.0026676480927312726,0.002127830403226588,0.010481924753368725,0.009533308186295223,-0.0005398176895046848,-0.0009486165670735021,0.678,True,True,switcher,0.8813368082046509,0.8955881595611572,0.014251351356506348,-0.00040879887756881724
141537,2011-10-26 12:06:00+00:00,Left,Right,57,48,0.87993085,0.8627686,0.017162263,0.3298259295590445,0.2702910035720196,0.05953492598702492,0.003530287905910471,0.006074035216171457,0.028309905486051522,0.03122713703045585,0.0025437473102609856,0.00291723154440433,0.806,True,True,switcher,0.8806518912315369,0.8631884455680847,-0.01746344566345215,0.00037348423414334435
141540,2009-10-01 18:08:00+00:00,Left,Right,10,11,0.79377973,0.7958238,-0.0020440817,0.48125462714918843,0.2784152515713421,0.20283937557784631,0.012417918935758282,0.0010224661423410342,0.0015114522216561244,0.02610353572313453,-0.011395452793417247,0.024592083501478405,0.9410000000000001,True,True,switcher,0.8001136779785156,0.7990678548812866,-0.001045823097229004,0.03598753629489565
141546,2007-04-23 00:00:00+00:00,Right,Right,16,14,0.87299496,0.886691,-0.013696015,0.26389942095799657,0.2549345494908095,0.008964871467187052,0.0021561472795957417,0.008659633344863369,0.03294058881907086,0.023953420509193673,0.006503486065267627,-0.008987168309877187,0.02200000000000002,True,False,switcher,,,,-0.015490654375144814
141552,2013-10-02 17:08:00+00:00,Left,Center,30,12,0.8431026,0.8761637,-0.033061147,0.5363030969629519,0.4588770972526302,0.07742599971032166,0.004242783576109727,0.0,0.005015573739794089,0.015205314906665273,,0.010189741166871186,0.557,True,True,switcher,0.8434168696403503,0.8761889934539795,0.03277212381362915,0.010189741166871186
141552,2015-11-19 18:18:00+00:00,Center,,17,10,0.84763,0.8758167,-0.028186679,0.2538656958431961,0.48165733700817304,-0.2277916411649769,0.0011400506366773954,0.001999020056463382,0.008981601501767314,0.0027594858468452123,0.0008589694197859866,-0.006222115654922101,,False,True,switcher,,,,-0.007081085074708088
141555,2019-08-16 16:25:00+00:00,Right,Right,89,46,0.8738831,0.87902474,-0.005141616,0.3133372328176062,0.3788111217515123,-0.0654738889339061,0.0038423451903395168,0.006526509814884801,0.0121050924721542,0.023283505541140014,0.002684164624545284,0.011178413068985813,0.0,False,False,switcher,,,,0.008494248444440529
141563,2009-11-03 18:33:00+00:00,Center,Left,96,40,0.8797476,0.8701475,0.009600103,0.25812068608683564,0.29485602040026804,-0.0367353343134324,0.004366192327187466,0.0032780146697298992,0.007597763294427404,0.009071722847223117,-0.0010881776574575668,0.0014739595527957132,0.5479999999999999,False,True,switcher,0.8797206878662109,0.8711736798286438,-0.008547008037567139,0.00256213721025328
143084,2022-04-04 14:29:00+00:00,Center,Right,44,28,0.86537,0.89453405,-0.029164076,0.13122409907312954,0.16646524867038334,-0.0352411495972538,0.002875274416686725,0.0012860710791890943,0.010314924424428364,0.005624579376640878,-0.001589203337497631,-0.004690345047787485,0.11600000000000002,True,True,switcher,0.86844402551651,0.8970230221748352,0.028578996658325195,-0.0031011417102898542
147975,2011-10-26 12:05:00+00:00,Right,Right,35,14,0.8456323,0.8122443,0.03338802,0.2567589382217836,0.46810261242752704,-0.21134367420574346,0.003297272871065708,0.002976190476190476,0.007549155135826089,0.02075602968460111,-0.0003210823948752318,0.013206874548775022,0.025999999999999968,False,False,switcher,,,,0.013527956943650254
148134,2018-03-27 19:58:00+00:00,Right,Right,48,15,0.84088755,0.8920065,-0.05111897,0.6093638790099837,0.46581751803981636,0.14354636097016732,0.0033285081679838616,0.005715920529070854,0.04162915670883624,0.013995263757024545,0.0023874123610869926,-0.027633892951811696,0.259,True,False,switcher,,,,-0.030021305312898688
149327,2013-10-02 14:11:00+00:00,Right,Center,52,33,0.87164605,0.8572292,0.014416873,0.21894917120465632,0.24421841272921693,-0.025269241524560615,0.0011807364748541219,0.0007671653241273494,0.0072099053831407535,0.006580002528388256,-0.0004135711507267725,-0.0006299028547524978,0.646,False,True,switcher,0.8690968155860901,0.8546727299690247,-0.01442408561706543,-0.00021633170402572536
150418,2009-10-07 13:49:00+00:00,Right,Right,15,10,0.8880273,0.8964313,-0.0084040165,0.07317721833867727,0.17548204762810854,-0.10230482928943127,0.02218042863640247,0.016587901906281212,0.00491796171772904,0.004347704708351061,-0.005592526730121259,-0.0005702570093779787,0.0,False,False,switcher,,,,0.00502226972074328
151208,2013-10-02 11:12:00+00:00,Right,Center,36,24,0.8847166,0.87735826,0.0073583126,0.33121152603224174,0.239205949276836,0.09200557675540574,0.004877249620462518,0.0024329028860727527,0.02040802946303428,0.01261826833120315,-0.0024443467343897656,-0.0077897611318311286,0.272,False,True,switcher,0.8846067786216736,0.8772993087768555,-0.007307469844818115,-0.0053454143974413625
151208,2014-04-24 00:00:00+00:00,Center,Center,43,18,0.8837935,0.84260225,0.04119122,0.3305305353813035,0.2725559672279516,0.05797456815335189,0.004692333626508754,0.0030204514537363674,0.012874280422641424,0.012074469587818175,-0.0016718821727723862,-0.0007998108348232485,0.0,False,False,switcher,,,,0.0008720713379491377
154919,2011-10-26 12:08:00+00:00,Right,Right,19,53,0.90239567,0.8989389,0.0034567714,0.2372282139976111,0.28834984875438685,-0.05112163475677575,0.0013609022556390978,0.0021550615488701375,0.008370046768216106,0.009130020737522034,0.0007941592932310397,0.0007599739693059278,0.267,False,False,switcher,,,,-3.418532392511194e-05
160318,2007-04-23 00:00:00+00:00,Right,Right,15,28,0.8201716,0.8663797,-0.046208084,0.14286097776648543,0.19537720739659853,-0.0525162296301131,0.005104303921016574,0.0028883474048347446,0.003469400584298093,0.007655426754554319,-0.0022159565161818293,0.0041860261702562265,0.02200000000000002,True,False,switcher,,,,0.006401982686438056
160509,2012-11-08 00:00:00+00:00,Center,Right,25,22,0.8811481,0.85020196,0.030946136,0.5647882210698854,0.5588386662461904,0.005949554823694969,0.0046490493351794195,0.0023385705203887025,0.009212265531484468,0.020106116459166153,-0.002310478814790717,0.010893850927681685,0.28400000000000003,True,True,switcher,0.8795102834701538,0.8494240045547485,-0.030086278915405273,0.013204329742472402
160511,2015-09-30 11:45:00+00:00,Left,Left,163,157,0.8339988,0.8311188,0.0028799772,0.5445798517896666,0.5677516434525192,-0.023171791662852548,0.0092758324622405,0.005015211900070093,0.018043180678151728,0.01864919630924294,-0.004260620562170407,0.000606015631091212,0.02100000000000002,False,False,switcher,,,,0.004866636193261619
160511,2018-03-05 18:10:00+00:00,Left,Left,110,34,0.84169394,0.8665789,-0.02488494,0.6107694889597024,0.6249841531740983,-0.014214664214395878,0.006792762976881485,0.010769101639082297,0.008355279978806284,0.026930276766582332,0.003976338662200812,0.01857499678777605,0.12700000000000006,True,False,switcher,,,,0.014598658125575238
160527,2018-12-11 10:29:00+00:00,Right,Right,46,29,0.834741,0.86363345,-0.028892457,0.30793668602931623,0.33035744273315726,-0.022420756703841027,0.0005109529230279166,0.0004997501249375312,0.03492003967619373,0.03290325495954932,-1.1202798090385424e-05,-0.002016784716644411,0.09700000000000009,False,False,switcher,,,,-0.0020055819185540256
160531,2019-08-16 16:25:00+00:00,Right,Right,14,21,0.8034409,0.8562116,-0.052770674,0.29094275219966165,0.45372055296079905,-0.1627778007611374,0.011625696200090931,0.001919179023455583,0.03798606396979768,0.07534499771037188,-0.009706517176635348,0.0373589337405742,0.0,False,False,switcher,,,,0.04706545091720955
160533,2011-10-27 16:16:00+00:00,Right,Right,19,20,0.86354595,0.879419,-0.015873075,0.20481235462158195,0.2452529301605903,-0.040440575539008344,0.0015313454762897903,0.0023121948239891075,0.0098264271732371,0.011523480069266893,0.0007808493476993172,0.001697052896029793,0.05199999999999999,False,False,switcher,,,,0.0009162035483304758
160541,2018-12-11 10:29:00+00:00,Right,Right,22,58,0.8495473,0.8391012,0.010446131,0.3253512962752963,0.2912517279725778,0.034099568302718486,0.0014678016054742607,0.0010174338667986581,0.013975705953170487,0.01377741688532482,-0.0004503677386756026,-0.00019828906784566738,0.09700000000000009,False,False,switcher,,,,0.0002520786708299352
160544,2011-10-26 12:07:00+00:00,Right,Right,15,37,0.8846169,0.8518648,0.032752097,0.22377667111203667,0.2514254681122513,-0.027648797000214637,0.005445444056420259,0.0030731331263556087,0.011750358001080529,0.011036425628774545,-0.00237231093006465,-0.0007139323723059834,0.267,False,False,switcher,,,,0.0016583785577586668
160544,2018-05-21 11:16:00+00:00,Center,Center,11,20,0.89670277,0.8705964,0.026106358,0.5221844450273415,0.4283289231389048,0.09385552188843671,0.0,0.000529100529100529,0.023192589744677836,0.012814191355437505,,-0.010378398389240331,0.0,False,False,switcher,,,,-0.010378398389240331
160546,2013-10-01 17:58:00+00:00,Right,Center,44,62,0.88158363,0.8644511,0.01713252,0.3429562843504009,0.24823166773738417,0.0947246166130167,0.0015484328097745408,0.0008199443683314651,0.007435437035708619,0.008067717753398977,-0.0007284884414430757,0.0006322807176903584,0.22,False,True,switcher,0.8794233202934265,0.8615886569023132,-0.01783466339111328,0.001360769159133434
160546,2014-04-24 00:00:00+00:00,Center,Center,52,38,0.88066113,0.8575975,0.02306366,0.2777859902993267,0.26117416114209463,0.016611829157232083,0.000604414110727658,0.0013378039693829169,0.006992048869323063,0.009650469846784115,0.0007333898586552589,0.002658420977461052,0.0,False,False,switcher,,,,0.0019250311188057931
160559,2018-05-21 11:16:00+00:00,Center,Center,22,10,0.85286564,0.8655732,-0.012707591,0.300637681623993,0.2904523404806191,0.010185341143373938,0.0031479242846143497,0.005901577214578186,0.011835999831430633,0.005293519891311689,0.002753652929963836,-0.006542479940118943,0.0,False,False,switcher,,,,-0.009296132870082779
160563,2011-10-26 12:07:00+00:00,Right,Right,149,149,0.85516465,0.852652,0.0025126338,0.21503389662733494,0.22832728311003092,-0.013293386482695985,0.0024253177217215616,0.001638603119021542,0.010477716366861458,0.007141968216850345,-0.0007867146027000197,-0.0033357481500111124,0.267,False,False,switcher,,,,-0.0025490335473110927
