event_id,deputado_id,is_switcher,post,conf
sw_0,109429,1,0,0.3641507444750746
sw_0,109429,1,1,0.37467536092698256
sw_1,116663,1,0,0.4741741828823612
sw_1,116663,1,1,0.5689922768593374
sw_2,122158,1,0,0.394844038869005
sw_2,122158,1,1,0.2943581459067855
sw_3,133374,1,0,0.28196157795890375
sw_3,133374,1,1,0.22625109995712503
sw_4,133374,1,0,0.6193334852352317
sw_4,133374,1,1,0.5555442717927555
sw_5,133374,1,0,0.24950900673771417
sw_5,133374,1,1,0.20807364723764857
sw_6,133440,1,0,0.3039388629699122
sw_6,133440,1,1,0.25889862701110133
sw_7,136811,1,0,0.2843633333778971
sw_7,136811,1,1,0.2068838531455613
sw_8,137070,1,0,0.559496104542018
sw_8,137070,1,1,0.5038376166537151
sw_9,141383,1,0,0.29639852327802513
sw_9,141383,1,1,0.28049759893837173
sw_10,141391,1,0,0.6046744781945028
sw_10,141391,1,1,0.7041902608266704
sw_11,141408,1,0,0.3245614618809107
sw_11,141408,1,1,0.469262469234133
sw_12,141427,1,0,0.5997461534565601
sw_12,141427,1,1,0.5032149887928127
sw_13,141427,1,0,0.26512074354856435
sw_13,141427,1,1,0.2833610875690186
sw_14,141430,1,0,0.2526230287004726
sw_14,141430,1,1,0.32907737802254977
sw_15,141435,1,0,0.35162174276908614
sw_15,141435,1,1,0.22522777119183557
sw_16,141439,1,0,0.6295194164778556
sw_16,141439,1,1,0.7777143742861281
sw_17,141442,1,0,0.4187271000936427
sw_17,141442,1,1,0.3241992944432481
sw_18,141447,1,0,0.33807019948582867
sw_18,141447,1,1,0.35877026412166296
sw_19,141448,1,0,0.2281565156024226
sw_19,141448,1,1,0.44265508274996923
sw_20,141450,1,0,0.2612853905724091
sw_20,141450,1,1,0.2405247780724629
sw_21,141450,1,0,0.32338771651240406
sw_21,141450,1,1,0.32878342846259645
sw_22,141454,1,0,0.3096246138148656
sw_22,141454,1,1,0.4130057231701492
sw_23,141454,1,0,0.42585380895796765
sw_23,141454,1,1,0.39514201061505877
sw_24,141460,1,0,0.3524353700722654
sw_24,141460,1,1,0.33876868771789775
sw_25,141476,1,0,0.2096930819324454
sw_25,141476,1,1,0.23686653537441443
sw_26,141478,1,0,0.27677973070316075
sw_26,141478,1,1,0.2083548908812395
sw_27,141490,1,0,0.4726360789856967
sw_27,141490,1,1,0.6245914658195895
sw_28,141495,1,0,0.32449890452444297
sw_28,141495,1,1,0.28531444582758675
sw_29,141496,1,0,0.459332574250666
sw_29,141496,1,1,0.33373139774849064
sw_30,141496,1,0,0.43228905278994195
sw_30,141496,1,1,0.4432225555744253
sw_31,141496,1,0,0.4390443596699561
sw_31,141496,1,1,0.4305475809952909
sw_32,141530,1,0,0.32338499491830763
sw_32,141530,1,1,0.2672848922339659
sw_33,141535,1,0,0.4030412021172284
sw_33,141535,1,1,0.5414266575435406
sw_34,141537,1,0,0.3298259295590445
sw_34,141537,1,1,0.2702910035720196
sw_35,141540,1,0,0.48125462714918843
sw_35,141540,1,1,0.2784152515713421
sw_36,141546,1,0,0.26389942095799657
sw_36,141546,1,1,0.2549345494908095
sw_37,141552,1,0,0.5363030969629519
sw_37,141552,1,1,0.4588770972526302
sw_38,141552,1,0,0.2538656958431961
sw_38,141552,1,1,0.48165733700817304
sw_39,141555,1,0,0.3133372328176062
sw_39,141555,1,1,0.3788111217515123
sw_40,141563,1,0,0.25812068608683564
sw_40,141563,1,1,0.29485602040026804
sw_41,143084,1,0,0.13122409907312954
sw_41,143084,1,1,0.16646524867038334
sw_42,147975,1,0,0.2567589382217836
sw_42,147975,1,1,0.46810261242752704
sw_43,148134,1,0,0.6093638790099837
sw_43,148134,1,1,0.46581751803981636
sw_44,149327,1,0,0.21894917120465632
sw_44,149327,1,1,0.24421841272921693
sw_45,150418,1,0,0.07317721833867727
sw_45,150418,1,1,0.17548204762810854
sw_46,151208,1,0,0.33121152603224174
sw_46,151208,1,1,0.239205949276836
sw_47,151208,1,0,0.3305305353813035
sw_47,151208,1,1,0.2725559672279516
sw_48,154919,1,0,0.2372282139976111
sw_48,154919,1,1,0.28834984875438685
sw_49,160318,1,0,0.14286097776648543
sw_49,160318,1,1,0.19537720739659853
sw_50,160509,1,0,0.5647882210698854
sw_50,160509,1,1,0.5588386662461904
sw_51,160511,1,0,0.5445798517896666
sw_51,160511,1,1,0.5677516434525192
sw_52,160511,1,0,0.6107694889597024
sw_52,160511,1,1,0.6249841531740983
sw_53,160527,1,0,0.30793668602931623
sw_53,160527,1,1,0.33035744273315726
sw_54,160531,1,0,0.29094275219966165
sw_54,160531,1,1,0.45372055296079905
sw_55,160533,1,0,0.20481235462158195
sw_55,160533,1,1,0.2452529301605903
sw_56,160541,1,0,0.3253512962752963
sw_56,160541,1,1,0.2912517279725778
sw_57,160544,1,0,0.22377667111203667
sw_57,160544,1,1,0.2514254681122513
sw_58,160544,1,0,0.5221844450273415
sw_58,160544,1,1,0.4283289231389048
sw_59,160546,1,0,0.3429562843504009
sw_59,160546,1,1,0.24823166773738417
sw_60,160546,1,0,0.2777859902993267
sw_60,160546,1,1,0.26117416114209463
sw_61,160559,1,0,0.300637681623993
sw_61,160559,1,1,0.2904523404806191
sw_62,160563,1,0,0.21503389662733494
sw_62,160563,1,1,0.22832728311003092
sw_63,160597,1,0,0.41723759464031135
sw_63,160597,1,1,0.324551268245287
sw_64,160600,1,0,0.21162171974428282
sw_64,160600,1,1,0.24830804553632238
sw_65,160600,1,0,0.24464311139971845
sw_65,160600,1,1,0.2643442404187819
sw_66,160600,1,0,0.2773188677290718
sw_66,160600,1,1,0.34512075219717664
sw_67,160601,1,0,0.3757015668793575
sw_67,160601,1,1,0.3418937771711622
sw_68,160619,1,0,0.3026836896273481
sw_68,160619,1,1,0.24803937468962667
sw_69,160621,1,0,0.48382704186401193
sw_69,160621,1,1,0.43142347174494755
sw_70,160632,1,0,0.6303705337297774
sw_70,160632,1,1,0.694775682841949
sw_71,160632,1,0,0.18156562548201913
sw_71,160632,1,1,0.18082175725457122
sw_72,160636,1,0,0.25546545709698587
sw_72,160636,1,1,0.26256760192682627
sw_73,160637,1,0,0.30064003726171573
sw_73,160637,1,1,0.26469251775370467
sw_74,160641,1,0,0.6071110823625283
sw_74,160641,1,1,0.6824838504242015
sw_75,160643,1,0,0.6506664705147375
sw_75,160643,1,1,0.5025724171954846
sw_76,160646,1,0,0.2339024673676999
sw_76,160646,1,1,0.19523685472175528
sw_77,160653,1,0,0.47841963622204026
sw_77,160653,1,1,0.44425198449470715
sw_78,160653,1,0,0.2944261539253774
sw_78,160653,1,1,0.3911232472277846
sw_79,160661,1,0,0.31348559912822577
