"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2320406";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2320406";"141522";"https://dadosabertos.camara.leg.br/api/v2/deputados/141522";"10000";"Deputado(a)";"Sabino Castelo Branco";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"AM";"1";"1"
"2305950";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2305950";"74082";"";"20000";"Senador(a)";"Paulo Rocha";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PA";"1";"1"
"2163812";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2163812";"74574";"https://dadosabertos.camara.leg.br/api/v2/deputados/74574";"10000";"Deputado(a)";"Paulo Magalhães";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"BA";"1";"1"
"2075693";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2075693";"151965";"https://dadosabertos.camara.leg.br/api/v2/deputados/151965";"10000";"Deputado(a)";"José Maia Filho";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790";"PI";"1";"1"
"2075691";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2075691";"73492";"https://dadosabertos.camara.leg.br/api/v2/deputados/73492";"10000";"Deputado(a)";"Antonio Carlos Biscaia";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"RJ";"1";"1"
"2075687";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2075687";"141495";"https://dadosabertos.camara.leg.br/api/v2/deputados/141495";"10000";"Deputado(a)";"Marcelo Itagiba";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"RJ";"1";"1"
"1570845";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1570845";"73492";"https://dadosabertos.camara.leg.br/api/v2/deputados/73492";"10000";"Deputado(a)";"Antonio Carlos Biscaia";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"RJ";"1";"1"
"1280745";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1280745";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6495";"3";"COMISSÃO ESPECIAL";"Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 630, de 2003, do Senhor Roberto Gouveia, que ""altera o art. 1º da Lei n.º 8.001, de 13 de março de 1990, constitui fundo especial para financiar pesquisas e fomentar a produção de energia elétrica e térmica a partir da energia solar e da energia eólica, e dá outras providências"" (fontes renováveis de energia).";"";"";"";"1";"1"
"1280638";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1280638";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6508";"3";"COMISSÃO ESPECIAL";"Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 324-A, de 2001, do Sr. Inaldo Leitão, que ""insere o § 3º no art. 215 da Constituição Federal"", aplicando, anualmente, nunca menos de 6% da receita de impostos em favor da produção, preservação, manutenção e o conhecimento de bens e valores culturais.";"";"";"";"1";"1"
"1280636";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1280636";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6508";"3";"COMISSÃO ESPECIAL";"Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 324-A, de 2001, do Sr. Inaldo Leitão, que ""insere o § 3º no art. 215 da Constituição Federal"", aplicando, anualmente, nunca menos de 6% da receita de impostos em favor da produção, preservação, manutenção e o conhecimento de bens e valores culturais.";"";"";"";"1";"1"
"1279741";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1279741";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"1199159";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1199159";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5973";"6";"COMISSÃO MISTA PERMANENTE";"Representação Brasileira no Parlamento do Mercosul.";"";"";"";"1";"1"
"1065120";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1065120";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"996519";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/996519";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100413";"30000";"Órgão do Poder Executivo";"Banco Central do Brasil";"";"";"";"1";"1"
"818039";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/818039";"73556";"https://dadosabertos.camara.leg.br/api/v2/deputados/73556";"10000";"Deputado(a)";"Regis de Oliveira";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"SP";"1";"1"
"817959";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/817959";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"622009";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/622009";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100921";"30000";"Órgão do Poder Executivo";"Presidente da República";"";"";"";"1";"1"
"622008";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/622008";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100921";"30000";"Órgão do Poder Executivo";"Presidente da República";"";"";"";"1";"1"
"622003";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/622003";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100932";"70000";"Sociedade Civil";"Banco Nacional de Desenvolvimento Econômico Social";"";"";"";"1";"1"
"622002";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/622002";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100932";"70000";"Sociedade Civil";"Banco Nacional de Desenvolvimento Econômico Social";"";"";"";"1";"1"
"621970";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621970";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/82";"40000";"Órgão do Poder Legislativo";"Tribunal de Contas da União";"";"";"";"1";"1"
"621969";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621969";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/82";"40000";"Órgão do Poder Legislativo";"Tribunal de Contas da União";"";"";"";"1";"1"
"621968";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621968";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/82";"40000";"Órgão do Poder Legislativo";"Tribunal de Contas da União";"";"";"";"1";"1"
"621962";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621962";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"621961";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621961";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"621949";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621949";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/80";"50000";"Órgão do Poder Judiciário";"Supremo Tribunal Federal";"";"";"";"1";"1"
"621935";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621935";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100413";"30000";"Órgão do Poder Executivo";"Banco Central do Brasil";"";"";"";"1";"1"
"621934";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621934";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100413";"30000";"Órgão do Poder Executivo";"Banco Central do Brasil";"";"";"";"1";"1"
"621931";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621931";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100949";"30000";"Órgão do Poder Executivo";"Ministério da Integração Nacional";"";"";"";"1";"1"
"621920";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621920";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/60";"30000";"Órgão do Poder Executivo";"Presidência da República";"";"";"";"1";"1"
"621919";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621919";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/60";"30000";"Órgão do Poder Executivo";"Presidência da República";"";"";"";"1";"1"
"621914";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621914";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/349";"50000";"Órgão do Poder Judiciário";"Poder Judiciário";"";"";"";"1";"1"
"621913";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621913";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"621911";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621911";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/81";"50000";"Órgão do Poder Judiciário";"Superior Tribunal de Justiça";"";"";"";"1";"1"
"621909";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621909";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100292";"40000";"Órgão do Poder Legislativo";"Câmara dos Deputados";"";"";"";"1";"1"
"621908";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621908";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/275";"50000";"Órgão do Poder Judiciário";"Tribunal Superior do Trabalho";"";"";"";"1";"1"
