"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2320381";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2320381";"150418";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"10000";"Deputado(a)";"Márcio Marinho";"REPUBLIC";"";"BA";"1";"1"
"2215834";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2215834";"160643";"https://dadosabertos.camara.leg.br/api/v2/deputados/160643";"10000";"Deputado(a)";"Dr. Jorge Silva";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"ES";"1";"1"
"2212930";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2212930";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"2";"COMISSÃO PERMANENTE";"Comissão de Constituição e Justiça e de Cidadania";"";"";"";"1";"1"
"2173468";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2173468";"74075";"https://dadosabertos.camara.leg.br/api/v2/deputados/74075";"10000";"Deputado(a)";"Elcione Barbalho";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"PA";"1";"1"
"2166603";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2166603";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2128935";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2128935";"74037";"https://dadosabertos.camara.leg.br/api/v2/deputados/74037";"10000";"Deputado(a)";"Fátima Bezerra";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"RN";"1";"1"
"2122577";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2122577";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2076356";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2076356";"160672";"https://dadosabertos.camara.leg.br/api/v2/deputados/160672";"10000";"Deputado(a)";"Jean Wyllys";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"RJ";"1";"1"
"2076353";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2076353";"74554";"https://dadosabertos.camara.leg.br/api/v2/deputados/74554";"10000";"Deputado(a)";"José Rocha";"PR";"https://dadosabertos.camara.leg.br/api/v2/partidos/36814";"BA";"1";"1"
"1555330";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1555330";"133439";"https://dadosabertos.camara.leg.br/api/v2/deputados/133439";"10000";"Deputado(a)";"André Figueiredo";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"CE";"1";"1"
"1307229";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1307229";"141523";"https://dadosabertos.camara.leg.br/api/v2/deputados/141523";"10000";"Deputado(a)";"Raul Henry";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"PE";"1";"1"
"1243692";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1243692";"141561";"https://dadosabertos.camara.leg.br/api/v2/deputados/141561";"10000";"Deputado(a)";"Wandenkolk Gonçalves";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"PA";"1";"1"
"1212742";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1212742";"160559";"https://dadosabertos.camara.leg.br/api/v2/deputados/160559";"10000";"Deputado(a)";"Alceu Moreira";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"RS";"1";"1"
"1212741";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1212741";"160559";"https://dadosabertos.camara.leg.br/api/v2/deputados/160559";"10000";"Deputado(a)";"Alceu Moreira";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"RS";"1";"1"
"1212740";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1212740";"160559";"https://dadosabertos.camara.leg.br/api/v2/deputados/160559";"10000";"Deputado(a)";"Alceu Moreira";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"RS";"1";"1"
"1212739";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1212739";"160559";"https://dadosabertos.camara.leg.br/api/v2/deputados/160559";"10000";"Deputado(a)";"Alceu Moreira";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"RS";"1";"1"
"1199169";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1199169";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5973";"6";"COMISSÃO MISTA PERMANENTE";"Representação Brasileira no Parlamento do Mercosul.";"";"";"";"1";"1"
"1199158";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1199158";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5973";"6";"COMISSÃO MISTA PERMANENTE";"Representação Brasileira no Parlamento do Mercosul.";"";"";"";"1";"1"
"1199157";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1199157";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5973";"6";"COMISSÃO MISTA PERMANENTE";"Representação Brasileira no Parlamento do Mercosul.";"";"";"";"1";"1"
"1199153";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1199153";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5973";"6";"COMISSÃO MISTA PERMANENTE";"Representação Brasileira no Parlamento do Mercosul.";"";"";"";"1";"1"
"964536";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/964536";"160665";"https://dadosabertos.camara.leg.br/api/v2/deputados/160665";"10000";"Deputado(a)";"Augusto Coutinho";"SD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36765";"PE";"1";"1"
"866000";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/866000";"161962";"https://dadosabertos.camara.leg.br/api/v2/deputados/161962";"10000";"Deputado(a)";"Luiz Noé";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"RS";"1";"1"
"865945";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/865945";"166401";"https://dadosabertos.camara.leg.br/api/v2/deputados/166401";"10000";"Deputado(a)";"Nilson Leitão";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"MT";"1";"1"
"817961";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/817961";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"796342";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/796342";"67138";"https://dadosabertos.camara.leg.br/api/v2/deputados/67138";"10000";"Deputado(a)";"Iracema Portella";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"PI";"1";"1"
"786808";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/786808";"141390";"https://dadosabertos.camara.leg.br/api/v2/deputados/141390";"10000";"Deputado(a)";"Antônio Roberto";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"MG";"1";"1"
"622753";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/622753";"80920";"https://dadosabertos.camara.leg.br/api/v2/deputados/80920";"10000";"Deputado(a)";"Penna";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"SP";"1";"1"
