"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2345364";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345364";"74366";"https://dadosabertos.camara.leg.br/api/v2/deputados/74366";"10000";"Deputado(a)";"João Campos";"REPUBLIC";"";"GO";"1";"1"
"2345363";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345363";"74366";"https://dadosabertos.camara.leg.br/api/v2/deputados/74366";"10000";"Deputado(a)";"João Campos";"REPUBLIC";"";"GO";"1";"1"
"2305959";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2305959";"141508";"https://dadosabertos.camara.leg.br/api/v2/deputados/141508";"10000";"Deputado(a)";"Mauro Nazif";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"RO";"1";"1"
"2214449";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2214449";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"2";"COMISSÃO PERMANENTE";"Comissão de Constituição e Justiça e de Cidadania";"";"";"";"1";"1"
"2183869";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2183869";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2182077";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2182077";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2160302";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2160302";"160565";"https://dadosabertos.camara.leg.br/api/v2/deputados/160565";"10000";"Deputado(a)";"Mara Gabrilli";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"SP";"1";"1"
"2160112";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2160112";"74297";"https://dadosabertos.camara.leg.br/api/v2/deputados/74297";"10000";"Deputado(a)";"José Linhares";"PP**";"https://dadosabertos.camara.leg.br/api/v2/partidos/36809";"CE";"1";"1"
"2145452";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2145452";"160649";"https://dadosabertos.camara.leg.br/api/v2/deputados/160649";"10000";"Deputado(a)";"Esperidião Amin";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"SC";"1";"1"
"2083566";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2083566";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2082838";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2082838";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2082497";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2082497";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2082493";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2082493";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2081927";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2081927";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2078592";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2078592";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2014";"2";"COMISSÃO PERMANENTE";"Comissão de Seguridade Social e Família";"";"";"";"1";"1"
"1672808";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1672808";"141516";"https://dadosabertos.camara.leg.br/api/v2/deputados/141516";"10000";"Deputado(a)";"Paulo Abi-Ackel";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"MG";"1";"1"
"1199166";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1199166";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5973";"6";"COMISSÃO MISTA PERMANENTE";"Representação Brasileira no Parlamento do Mercosul.";"";"";"";"1";"1"
"1199163";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1199163";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5973";"6";"COMISSÃO MISTA PERMANENTE";"Representação Brasileira no Parlamento do Mercosul.";"";"";"";"1";"1"
"1199160";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1199160";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5973";"6";"COMISSÃO MISTA PERMANENTE";"Representação Brasileira no Parlamento do Mercosul.";"";"";"";"1";"1"
"946700";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/946700";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"946044";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/946044";"160511";"https://dadosabertos.camara.leg.br/api/v2/deputados/160511";"10000";"Deputado(a)";"Alessandro Molon";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"RJ";"1";"1"
"808130";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/808130";"74566";"https://dadosabertos.camara.leg.br/api/v2/deputados/74566";"10000";"Deputado(a)";"Geraldo Simões";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"BA";"1";"1"
"622748";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/622748";"74383";"https://dadosabertos.camara.leg.br/api/v2/deputados/74383";"10000";"Deputado(a)";"Giacobo";"PR";"https://dadosabertos.camara.leg.br/api/v2/partidos/36814";"PR";"1";"1"
"622747";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/622747";"74383";"https://dadosabertos.camara.leg.br/api/v2/deputados/74383";"10000";"Deputado(a)";"Giacobo";"PR";"https://dadosabertos.camara.leg.br/api/v2/partidos/36814";"PR";"1";"1"
"622013";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/622013";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100413";"30000";"Órgão do Poder Executivo";"Banco Central do Brasil";"";"";"";"1";"1"
"621996";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621996";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100932";"70000";"Sociedade Civil";"Banco Nacional de Desenvolvimento Econômico Social";"";"";"";"1";"1"
"621990";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621990";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/82";"40000";"Órgão do Poder Legislativo";"Tribunal de Contas da União";"";"";"";"1";"1"
