"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2320423";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2320423";"74283";"https://dadosabertos.camara.leg.br/api/v2/deputados/74283";"10000";"Deputado(a)";"Vicentinho";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"1";"1"
"2320422";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2320422";"74283";"https://dadosabertos.camara.leg.br/api/v2/deputados/74283";"10000";"Deputado(a)";"Vicentinho";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"1";"1"
"2320420";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2320420";"74283";"https://dadosabertos.camara.leg.br/api/v2/deputados/74283";"10000";"Deputado(a)";"Vicentinho";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"1";"1"
"2166589";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2166589";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2142195";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2142195";"141498";"https://dadosabertos.camara.leg.br/api/v2/deputados/141498";"10000";"Deputado(a)";"Dr. Ubiali";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"SP";"1";"1"
"2125099";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2125099";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"1";"COMISSÃO DIRETORA";"Mesa Diretora da Câmara dos Deputados";"";"";"";"1";"1"
"1738738";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1738738";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"1280744";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1280744";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6498";"3";"COMISSÃO ESPECIAL";"Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 115-A, de 2007, do Sr. Paulo Renato Souza, que ""cria o Tribunal Superior da Probidade Administrativa"".";"";"";"";"1";"1"
"1280743";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1280743";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6498";"3";"COMISSÃO ESPECIAL";"Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 115-A, de 2007, do Sr. Paulo Renato Souza, que ""cria o Tribunal Superior da Probidade Administrativa"".";"";"";"";"1";"1"
"1280641";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1280641";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6511";"3";"COMISSÃO ESPECIAL";"Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 555-A, de 2006, do Sr. Carlos Mota, que ""revoga o art. 4º da Emenda Constitucional nº 41, de 2003"", acabando com a cobrança de contribuição previdenciária sobre os proventos dos servidores públicos aposentados (Contribuição de Inativos).";"";"";"";"1";"1"
"1280640";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1280640";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6511";"3";"COMISSÃO ESPECIAL";"Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 555-A, de 2006, do Sr. Carlos Mota, que ""revoga o art. 4º da Emenda Constitucional nº 41, de 2003"", acabando com a cobrança de contribuição previdenciária sobre os proventos dos servidores públicos aposentados (Contribuição de Inativos).";"";"";"";"1";"1"
"946084";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/946084";"73556";"https://dadosabertos.camara.leg.br/api/v2/deputados/73556";"10000";"Deputado(a)";"Regis de Oliveira";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"SP";"1";"1"
"946019";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/946019";"141405";"https://dadosabertos.camara.leg.br/api/v2/deputados/141405";"10000";"Deputado(a)";"Celso Maldaner";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"SC";"1";"1"
"946018";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/946018";"141405";"https://dadosabertos.camara.leg.br/api/v2/deputados/141405";"10000";"Deputado(a)";"Celso Maldaner";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"SC";"1";"1"
"622014";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/622014";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100413";"30000";"Órgão do Poder Executivo";"Banco Central do Brasil";"";"";"";"1";"1"
"622012";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/622012";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100413";"30000";"Órgão do Poder Executivo";"Banco Central do Brasil";"";"";"";"1";"1"
"622011";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/622011";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100413";"30000";"Órgão do Poder Executivo";"Banco Central do Brasil";"";"";"";"1";"1"
"622007";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/622007";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100921";"30000";"Órgão do Poder Executivo";"Presidente da República";"";"";"";"1";"1"
"622005";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/622005";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100932";"70000";"Sociedade Civil";"Banco Nacional de Desenvolvimento Econômico Social";"";"";"";"1";"1"
"622004";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/622004";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100932";"70000";"Sociedade Civil";"Banco Nacional de Desenvolvimento Econômico Social";"";"";"";"1";"1"
