"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2433210";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2433210";"160581";"https://dadosabertos.camara.leg.br/api/v2/deputados/160581";"10000";"Deputado(a)";"Assis Melo";"";"";"";"1";"1"
"2433204";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2433204";"160581";"https://dadosabertos.camara.leg.br/api/v2/deputados/160581";"10000";"Deputado(a)";"Assis Melo";"";"";"";"1";"1"
"2430539";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2430539";"160582";"https://dadosabertos.camara.leg.br/api/v2/deputados/160582";"10000";"Deputado(a)";"Alberto Filho";"";"";"";"1";"1"
"2344561";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2344561";"160640";"https://dadosabertos.camara.leg.br/api/v2/deputados/160640";"10000";"Deputado(a)";"Eros Biondini";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"MG";"1";"1"
"2338650";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2338650";"73458";"https://dadosabertos.camara.leg.br/api/v2/deputados/73458";"10000";"Deputado(a)";"Alex Canziani";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"PR";"1";"1"
"2338649";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2338649";"178825";"https://dadosabertos.camara.leg.br/api/v2/deputados/178825";"10000";"Deputado(a)";"Leo de Brito";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"AC";"1";"1"
"2332574";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332574";"178845";"https://dadosabertos.camara.leg.br/api/v2/deputados/178845";"10000";"Deputado(a)";"Ronaldo Lessa";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"AL";"6";"1"
"2332574";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332574";"178834";"https://dadosabertos.camara.leg.br/api/v2/deputados/178834";"10000";"Deputado(a)";"Bebeto";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"BA";"4";"1"
"2332574";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332574";"74057";"https://dadosabertos.camara.leg.br/api/v2/deputados/74057";"10000";"Deputado(a)";"Alice Portugal";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"BA";"5";"1"
"2332574";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332574";"141470";"https://dadosabertos.camara.leg.br/api/v2/deputados/141470";"10000";"Deputado(a)";"José Guimarães";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"CE";"1";"1"
"2332574";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332574";"141398";"https://dadosabertos.camara.leg.br/api/v2/deputados/141398";"10000";"Deputado(a)";"Carlos Zarattini";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"2";"1"
"2332574";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332574";"178964";"https://dadosabertos.camara.leg.br/api/v2/deputados/178964";"10000";"Deputado(a)";"Heitor Schuch";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"RS";"3";"1"
"2332573";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332573";"178831";"https://dadosabertos.camara.leg.br/api/v2/deputados/178831";"10000";"Deputado(a)";"André Abdon";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"AP";"1";"1"
"2332573";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332573";"74856";"https://dadosabertos.camara.leg.br/api/v2/deputados/74856";"10000";"Deputado(a)";"Laura Carneiro";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"RJ";"2";"1"
"2294177";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2294177";"160672";"https://dadosabertos.camara.leg.br/api/v2/deputados/160672";"10000";"Deputado(a)";"Jean Wyllys";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"RJ";"1";"1"
"2228766";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2228766";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6174";"2";"COMISSÃO PERMANENTE";"Comissão de Meio Ambiente e Desenvolvimento Sustentável";"";"";"";"1";"1"
"2226648";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2226648";"178969";"https://dadosabertos.camara.leg.br/api/v2/deputados/178969";"10000";"Deputado(a)";"Fábio Mitidieri";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"SE";"1";"1"
"2225499";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2225499";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6174";"2";"COMISSÃO PERMANENTE";"Comissão de Meio Ambiente e Desenvolvimento Sustentável";"";"";"";"1";"1"
"2225490";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2225490";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6174";"2";"COMISSÃO PERMANENTE";"Comissão de Meio Ambiente e Desenvolvimento Sustentável";"";"";"";"1";"1"
"2192145";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2192145";"74140";"https://dadosabertos.camara.leg.br/api/v2/deputados/74140";"10000";"Deputado(a)";"José Carlos Araújo";"PR";"https://dadosabertos.camara.leg.br/api/v2/partidos/36814";"BA";"1";"1"
"2192144";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2192144";"74140";"https://dadosabertos.camara.leg.br/api/v2/deputados/74140";"10000";"Deputado(a)";"José Carlos Araújo";"PR";"https://dadosabertos.camara.leg.br/api/v2/partidos/36814";"BA";"1";"1"
