"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2576203";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2576203";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2572273";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2572273";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Paulo Paim";"PT";"";"RS";"1";"1"
"2559216";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2559216";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Maria do Carmo Alves";"PP";"";"SE";"1";"1"
"2559194";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2559194";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Rodrigo Pacheco";"PSD";"";"MG";"1";"1"
"2534492";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2534492";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Guaracy Silveira";"PP";"";"TO";"1";"1"
"2528145";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2528145";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2519678";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2519678";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Veneziano Vital do Rêgo";"MDB";"";"PB";"1";"1"
"2504561";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2504561";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2503839";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2503839";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2503831";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2503831";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Eduardo Gomes";"PL";"";"TO";"1";"1"
"2503830";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2503830";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2495726";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2495726";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Soraya Thronick";"PODEMOS";"";"MS";"1";"1"
"2485095";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2485095";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Jader Barbalho";"MDB";"";"PA";"1";"1"
"2481858";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2481858";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Rodrigo Pacheco";"PSD";"";"MG";"1";"1"
"2481855";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2481855";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Daniella Ribeiro";"PSD";"";"PB";"1";"1"
"2477369";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2477369";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Angelo Coronel";"PSD";"";"BA";"1";"1"
"2477340";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2477340";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Alessandro Vieira";"MDB";"";"SE";"1";"1"
"2472876";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2472876";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Randolfe Rodrigues";"PT";"";"AP";"1";"1"
"2465245";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2465245";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Jorge Kajuru";"PSB";"";"GO";"1";"1"
"2456743";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2456743";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Leila Barros";"PDT";"";"DF";"1";"1"
"2456262";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2456262";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Fabiano Contarato";"PT";"";"ES";"1";"1"
"2453592";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2453592";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Fabiano Cantarato";"PT";"";"ES";"1";"1"
"2447956";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2447956";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Flávio Arns";"PSB";"";"PR";"1";"1"
"2443623";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2443623";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Luiz Pastore";"MDB";"";"ES";"1";"1"
"2442506";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2442506";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Rodrigo Pacheco";"PSD";"";"MG";"1";"1"
"2442504";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2442504";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Rodrigo Pacheco";"PSD";"";"MG";"1";"1"
"2440776";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2440776";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"2439771";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2439771";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Jayme Campos";"UNIÃO";"";"MT";"1";"1"
"2439726";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2439726";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Paulo Paim";"PT";"";"RS";"1";"1"
"2439725";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2439725";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal - Margareth Buzetti";"PSD";"";"MT";"1";"1"
"2436334";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2436334";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal -Romário";"PL";"";"RJ";"1";"1"
"2434135";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2434135";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100292";"40000";"Órgão do Poder Legislativo";"CÂMARA DOS DEPUTADOS";"";"";"";"1";"1"
